opponent_name,champ_poppy
jayce,57.46
tryndamere,54.25
irelia,57.33
akali,54.87
fiora,53.26
sett,51.36
darius,44.44
aatrox,55.72
yone,52.96
riven,53.46
renekton,51.48
garen,46.46
camille,50.26
jax,55.56
graves,53.43
gangplank,50.76
malphite,48.36
gnar,52.00
vayne,51.64
shen,46.50
teemo,44.35
mordekaiser,43.87
gwen,52.53
illaoi,49.82
nasus,49.25
kennen,48.67
gragas,53.91
volibear,56.12
ornn,52.59
sion,47.58
ryze,56.82
rumble,49.28
rengar,56.10
viktor,47.32
sylas,51.74
kayle,42.93
trundle,45.51
yorick,47.34
tahm kench,47.83
yasuo,53.55
kled,45.33
dr. mundo,50.00
urgot,40.94
vladimir,49.21
warwick,41.96
wukong,46.85
quinn,48.18
akshan,50.47
singed,44.68
master yi,61.54
zac,45.78
lucian,46.67
heimerdinger,44.59
cho'gath,43.66
cassiopeia,37.29
maokai,39.66
sejuani,50.00
pantheon,50.00
