opponent_name,champ_quinn
jayce,53.43
malphite,46.78
renekton,54.86
darius,55.29
tryndamere,54.56
garen,54.10
irelia,49.93
fiora,53.94
akali,56.74
yone,53.80
aatrox,47.49
teemo,52.65
gangplank,55.81
vayne,58.35
riven,57.89
graves,55.24
jax,50.73
sett,50.61
gnar,55.63
kennen,56.12
camille,54.80
nasus,54.01
shen,46.96
viktor,47.03
lucian,53.66
rumble,56.02
gragas,50.81
illaoi,52.25
yorick,50.61
yasuo,47.53
gwen,58.75
tahm kench,51.59
ryze,59.09
volibear,53.25
kayle,46.36
sion,53.02
ornn,51.02
dr. mundo,47.76
trundle,49.61
vladimir,55.20
sylas,51.61
mordekaiser,52.89
kled,52.99
warwick,45.61
akshan,51.33
poppy,51.82
rengar,50.00
urgot,56.57
master yi,56.52
wukong,56.47
heimerdinger,55.71
singed,47.54
zac,41.38
cho'gath,49.06
maokai,49.06
pantheon,46.00
