opponent_name,champ_renekton
jayce,53.07
irelia,49.45
yone,52.69
akali,51.19
darius,45.68
aatrox,49.63
fiora,49.22
riven,51.84
tryndamere,47.50
sett,45.58
garen,43.48
malphite,48.88
camille,48.97
gangplank,46.70
graves,49.92
jax,49.74
teemo,45.97
gnar,46.19
vayne,44.71
shen,46.49
illaoi,41.89
gwen,50.38
mordekaiser,43.55
quinn,45.14
yasuo,53.01
gragas,48.42
nasus,47.52
volibear,47.03
kennen,52.23
sylas,47.67
ornn,46.37
poppy,48.52
tahm kench,46.15
sion,47.60
viktor,49.16
yorick,47.96
trundle,49.01
rumble,46.09
rengar,48.20
ryze,49.35
kayle,41.24
warwick,47.09
kled,46.19
urgot,46.17
wukong,46.11
vladimir,49.25
dr. mundo,43.24
master yi,59.87
singed,36.84
akshan,46.56
lucian,57.20
heimerdinger,46.76
zac,48.31
sejuani,39.89
cho'gath,40.57
maokai,47.56
pantheon,46.50
cassiopeia,46.00
