opponent_name,champ_rengar
jayce,58.37
tryndamere,47.60
irelia,52.48
akali,51.39
fiora,48.07
sett,45.74
renekton,51.80
aatrox,48.03
yone,57.46
gangplank,55.61
garen,48.17
darius,42.97
jax,48.52
malphite,48.59
riven,47.06
graves,53.22
camille,51.40
teemo,45.74
gragas,50.81
shen,44.58
illaoi,52.58
gwen,49.77
vayne,54.33
poppy,43.90
gnar,54.04
trundle,46.67
nasus,46.95
kennen,51.95
volibear,51.01
mordekaiser,53.91
ornn,49.22
kayle,44.00
sylas,53.66
sion,47.54
tahm kench,51.64
ryze,61.74
yorick,45.95
yasuo,58.88
rumble,51.92
viktor,52.43
quinn,50.00
urgot,46.00
warwick,46.94
vladimir,52.17
kled,41.76
master yi,55.95
akshan,54.43
wukong,46.84
dr. mundo,53.52
maokai,42.62
zac,38.60
lucian,44.00
