opponent_name,champ_riven
irelia,54.74
jayce,53.87
fiora,50.58
renekton,48.16
darius,52.66
akali,51.81
tryndamere,52.49
aatrox,51.90
garen,46.13
yone,54.43
sett,52.00
malphite,50.74
gangplank,53.03
camille,49.85
graves,51.14
jax,55.19
teemo,51.44
vayne,43.78
gnar,49.79
shen,50.42
gwen,59.77
gragas,53.88
illaoi,47.74
poppy,46.54
nasus,55.13
mordekaiser,48.65
volibear,47.46
tahm kench,48.55
ornn,46.68
kennen,50.85
sion,53.28
rumble,53.20
sylas,55.05
yasuo,54.66
trundle,49.38
urgot,45.23
ryze,57.58
quinn,42.11
viktor,51.40
kayle,48.58
rengar,52.94
yorick,46.95
kled,46.32
wukong,48.60
warwick,53.27
vladimir,52.38
dr. mundo,56.20
master yi,62.86
singed,51.94
heimerdinger,56.16
akshan,50.77
zac,43.39
maokai,51.46
lucian,47.20
sejuani,49.61
cassiopeia,50.88
cho'gath,48.21
pantheon,66.02
