opponent_name,champ_rumble
jayce,54.27
irelia,48.97
akali,49.87
teemo,48.26
aatrox,50.00
yone,48.63
darius,48.07
tryndamere,46.87
fiora,52.56
gangplank,48.90
malphite,50.29
renekton,53.91
sett,43.55
riven,46.80
garen,43.33
graves,55.77
camille,48.99
gnar,50.88
vayne,44.84
jax,48.37
shen,45.16
sylas,48.80
kennen,52.40
gragas,52.38
gwen,50.88
illaoi,49.32
sion,42.40
nasus,46.15
poppy,50.72
quinn,43.98
mordekaiser,46.24
volibear,50.00
ornn,45.98
viktor,42.77
ryze,48.24
kayle,46.75
yorick,39.76
yasuo,46.30
tahm kench,45.86
akshan,44.29
vladimir,50.36
dr. mundo,38.46
trundle,46.46
kled,47.24
urgot,41.53
wukong,48.25
warwick,56.25
rengar,48.08
singed,41.67
master yi,53.09
heimerdinger,48.10
lucian,56.00
maokai,39.71
zac,46.15
cassiopeia,50.82
pantheon,38.89
