opponent_name,champ_ryze
jayce,47.56
teemo,49.64
irelia,42.01
akali,48.94
fiora,46.09
tryndamere,45.17
yone,45.78
darius,48.08
aatrox,46.05
gangplank,50.93
malphite,45.97
sett,45.26
garen,44.81
graves,44.00
renekton,50.65
vayne,51.05
jax,46.67
riven,42.42
camille,46.26
gnar,44.00
shen,42.60
nasus,38.66
kennen,53.67
sylas,46.64
viktor,46.72
illaoi,44.21
yasuo,46.35
gragas,51.09
poppy,43.18
gwen,51.50
sion,47.37
yorick,37.43
ornn,41.85
tahm kench,45.51
trundle,48.28
kayle,46.51
rumble,51.76
mordekaiser,52.90
quinn,40.91
volibear,44.83
vladimir,46.76
urgot,45.11
dr. mundo,42.97
warwick,49.59
akshan,50.00
wukong,46.09
rengar,38.26
lucian,49.04
heimerdinger,50.00
kled,46.88
cassiopeia,43.04
cho'gath,46.75
singed,43.42
zac,37.84
master yi,52.78
maokai,37.74
pantheon,46.00
