opponent_name,champ_sett
irelia,54.00
darius,50.15
jayce,52.44
aatrox,50.46
fiora,51.90
akali,51.76
yone,53.64
tryndamere,52.31
renekton,54.42
garen,49.95
malphite,49.26
vayne,46.42
riven,48.00
teemo,51.44
camille,48.00
jax,51.00
graves,54.30
gangplank,50.25
gwen,56.56
gnar,49.06
shen,51.02
illaoi,48.19
mordekaiser,48.09
volibear,49.29
tahm kench,53.05
kennen,51.59
nasus,50.00
poppy,48.64
ornn,45.08
sylas,54.30
sion,50.76
gragas,51.08
yorick,49.13
trundle,50.24
yasuo,55.11
ryze,54.74
rumble,56.45
viktor,51.84
dr. mundo,45.68
rengar,54.26
kayle,44.75
kled,47.52
warwick,52.40
urgot,49.16
wukong,54.69
master yi,68.53
quinn,49.39
vladimir,56.83
singed,49.26
zac,48.48
lucian,54.86
akshan,50.40
cho'gath,46.55
heimerdinger,55.38
maokai,55.38
pantheon,47.40
sejuani,50.34
cassiopeia,46.85
