opponent_name,champ_shen
jayce,51.72
irelia,54.23
tryndamere,53.76
aatrox,49.29
fiora,51.40
akali,54.55
darius,50.17
yone,54.87
garen,49.02
sett,48.98
malphite,51.61
renekton,53.51
gangplank,52.50
camille,55.62
jax,56.82
sylas,52.50
graves,53.26
riven,49.58
mordekaiser,47.42
vayne,49.03
gnar,49.46
teemo,50.46
gwen,53.51
nasus,49.83
illaoi,49.36
gragas,58.30
sion,50.44
yorick,52.34
kennen,54.71
ornn,52.55
trundle,52.57
kayle,44.13
poppy,53.50
ryze,57.40
tahm kench,48.65
volibear,55.72
kled,51.08
viktor,48.74
rumble,54.84
yasuo,53.85
rengar,55.42
vladimir,55.36
quinn,53.04
dr. mundo,54.22
urgot,51.58
wukong,55.77
singed,44.10
warwick,49.20
master yi,60.22
akshan,58.79
zac,49.69
heimerdinger,47.50
cho'gath,43.42
lucian,58.33
maokai,45.74
cassiopeia,52.21
pantheon,49.35
sejuani,52.11
