opponent_name,champ_singed
tryndamere,53.27
jayce,48.89
irelia,54.29
aatrox,59.04
darius,48.79
yone,51.37
akali,54.93
fiora,48.65
garen,53.61
sett,50.74
renekton,63.16
malphite,57.87
camille,47.13
jax,55.46
graves,49.12
vayne,46.85
gangplank,52.11
nasus,48.54
riven,48.06
shen,55.90
teemo,41.90
gnar,47.80
gwen,64.24
sion,48.06
illaoi,47.58
mordekaiser,43.80
gragas,55.45
sylas,46.79
ornn,45.19
trundle,57.84
kennen,44.33
poppy,55.32
yorick,51.61
kayle,43.01
tahm kench,54.95
rumble,58.33
yasuo,48.15
viktor,54.43
volibear,48.72
ryze,56.58
dr. mundo,42.67
quinn,52.46
warwick,57.63
kled,56.36
urgot,39.22
