opponent_name,champ_sion
jayce,53.18
aatrox,49.64
fiora,46.30
tryndamere,50.43
akali,52.91
darius,46.14
yone,47.55
irelia,45.82
teemo,54.47
garen,46.47
malphite,56.38
sett,49.24
vayne,45.71
gangplank,52.75
renekton,52.40
graves,50.10
gnar,54.15
riven,46.72
camille,49.89
shen,49.56
gwen,52.26
jax,53.27
nasus,51.60
illaoi,45.68
kennen,58.07
sylas,52.88
mordekaiser,45.21
gragas,56.25
ornn,50.00
viktor,48.11
yorick,48.11
kayle,55.64
volibear,50.00
trundle,47.70
poppy,52.42
rumble,57.60
tahm kench,50.00
yasuo,48.22
ryze,52.63
kled,41.38
urgot,53.33
quinn,46.98
warwick,42.14
vladimir,44.27
singed,51.94
akshan,50.78
dr. mundo,51.97
wukong,55.91
rengar,52.46
heimerdinger,57.85
master yi,54.62
cho'gath,53.06
maokai,41.24
zac,47.92
lucian,53.26
cassiopeia,50.79
pantheon,52.63
sejuani,47.27
