opponent_name,champ_tahmkench
tryndamere,54.68
jayce,55.28
irelia,51.31
darius,50.65
fiora,50.55
sett,46.95
aatrox,54.82
akali,53.16
yone,49.18
vayne,50.57
renekton,53.85
garen,52.46
gangplank,56.94
malphite,52.29
teemo,53.77
riven,51.45
camille,56.71
graves,56.60
gnar,54.03
gwen,52.61
jax,54.13
illaoi,50.27
shen,51.35
sylas,53.21
nasus,52.67
mordekaiser,48.66
volibear,51.41
yorick,42.86
gragas,49.16
kennen,50.64
trundle,52.40
ornn,47.89
sion,50.00
viktor,47.26
kayle,51.03
ryze,54.49
poppy,52.17
rumble,54.14
quinn,48.41
kled,50.97
yasuo,58.74
dr. mundo,55.04
warwick,51.97
rengar,48.36
wukong,51.75
urgot,52.68
vladimir,56.31
master yi,52.63
singed,45.05
heimerdinger,40.70
zac,48.05
akshan,55.41
cho'gath,45.21
lucian,51.39
maokai,57.14
cassiopeia,58.49
