opponent_name,champ_teemo
malphite,48.41
jayce,49.74
tryndamere,53.28
irelia,52.81
darius,53.55
akali,51.12
aatrox,48.32
fiora,49.29
garen,50.13
yone,53.40
vayne,58.19
sett,48.56
graves,51.59
renekton,54.03
nasus,47.78
ryze,50.36
viktor,48.14
riven,48.56
gangplank,51.96
jax,52.98
camille,54.59
kennen,52.77
gnar,51.61
rumble,51.74
sion,45.53
gragas,53.00
shen,49.54
vladimir,52.04
yorick,45.08
ornn,48.28
illaoi,52.64
tahm kench,46.23
mordekaiser,53.40
gwen,57.75
sylas,48.19
yasuo,54.25
quinn,47.35
trundle,53.83
cassiopeia,42.62
dr. mundo,52.32
volibear,52.99
kayle,49.87
poppy,55.65
urgot,47.55
heimerdinger,50.65
lucian,56.23
warwick,53.17
rengar,54.26
akshan,46.38
cho'gath,48.66
wukong,53.82
master yi,59.09
kled,52.30
singed,58.10
zac,52.30
pantheon,48.48
maokai,48.41
sejuani,42.42
