opponent_name,champ_trundle
tryndamere,50.42
irelia,51.97
darius,52.03
fiora,50.72
jayce,49.72
yone,52.11
akali,53.23
aatrox,50.77
sett,49.76
garen,52.78
jax,49.43
malphite,48.77
renekton,50.99
graves,52.25
camille,44.32
teemo,46.17
riven,50.62
gangplank,54.82
vayne,46.58
shen,47.15
illaoi,50.42
gwen,50.89
gnar,48.55
nasus,47.02
mordekaiser,49.45
volibear,51.87
sion,52.30
tahm kench,47.60
yorick,48.67
ornn,50.44
gragas,48.88
sylas,45.50
rengar,53.33
yasuo,54.36
kennen,48.96
poppy,54.49
warwick,55.62
kayle,50.85
ryze,51.72
viktor,49.07
urgot,50.96
wukong,44.59
kled,51.03
dr. mundo,50.00
rumble,53.54
quinn,50.39
master yi,56.52
vladimir,48.54
singed,42.16
zac,50.00
akshan,51.81
lucian,48.68
cho'gath,50.00
heimerdinger,45.07
sejuani,54.69
maokai,47.46
