opponent_name,champ_tryndamere
jayce,52.86
fiora,48.86
malphite,44.75
akali,51.19
irelia,54.87
darius,46.01
jax,50.16
yone,50.24
aatrox,50.09
teemo,46.72
garen,51.39
sett,47.69
renekton,52.46
graves,56.59
gangplank,53.51
riven,47.51
vayne,46.97
camille,49.07
tahm kench,45.32
shen,46.24
nasus,48.53
gnar,49.24
trundle,49.58
gragas,53.59
poppy,45.75
gwen,56.29
sylas,53.22
illaoi,48.81
volibear,45.13
sion,49.57
yorick,46.89
mordekaiser,51.87
warwick,45.54
kayle,49.49
kennen,50.65
ryze,54.83
quinn,45.44
ornn,50.14
yasuo,53.03
kled,46.71
viktor,53.13
rumble,53.13
rengar,52.40
singed,46.73
master yi,55.56
urgot,49.51
wukong,53.09
dr. mundo,50.33
zac,46.00
vladimir,56.06
heimerdinger,52.88
akshan,54.80
sejuani,42.37
cho'gath,55.89
lucian,57.24
maokai,50.00
pantheon,52.22
cassiopeia,51.23
