opponent_name,champ_vayne
darius,56.21
malphite,41.92
jayce,49.03
garen,53.99
irelia,48.86
tryndamere,53.03
fiora,51.95
sett,53.58
aatrox,52.20
yone,48.96
akali,50.75
teemo,41.81
renekton,55.29
graves,52.33
riven,56.22
nasus,45.81
illaoi,53.31
camille,52.48
gnar,50.35
ornn,45.97
gangplank,50.22
lucian,47.59
shen,50.97
jax,53.48
sion,54.29
tahm kench,49.43
mordekaiser,59.17
viktor,45.79
kennen,53.47
gragas,52.71
gwen,59.26
yorick,45.00
yasuo,48.85
quinn,41.65
dr. mundo,52.22
ryze,48.95
sylas,53.54
trundle,53.42
urgot,56.06
volibear,55.26
poppy,48.36
rumble,55.16
kayle,49.07
kled,52.05
vladimir,43.60
akshan,45.49
wukong,46.32
warwick,53.01
singed,53.15
rengar,45.67
cho'gath,52.36
master yi,63.37
zac,50.61
heimerdinger,41.61
cassiopeia,46.40
maokai,40.00
pantheon,37.93
sejuani,55.21
