opponent_name,champ_viktor
jayce,56.75
irelia,48.10
teemo,51.86
yone,48.80
akali,44.90
fiora,51.91
tryndamere,46.88
darius,49.39
aatrox,47.28
gangplank,53.51
renekton,50.84
vayne,54.21
garen,50.19
malphite,48.88
sett,48.16
graves,53.26
gnar,51.72
riven,48.60
camille,53.18
jax,51.01
shen,51.26
kennen,53.31
sylas,58.21
sion,51.89
illaoi,57.31
gwen,60.00
nasus,48.16
ryze,53.28
yasuo,52.92
gragas,47.84
quinn,52.97
poppy,52.68
tahm kench,52.74
kayle,48.98
yorick,48.39
ornn,47.73
mordekaiser,47.98
rumble,57.23
volibear,48.80
trundle,50.93
akshan,52.60
dr. mundo,46.67
lucian,51.15
urgot,52.34
kled,47.20
cassiopeia,52.59
heimerdinger,49.14
wukong,56.52
vladimir,54.05
rengar,47.57
warwick,56.12
master yi,58.54
singed,45.57
zac,52.63
cho'gath,49.28
maokai,60.61
