opponent_name,champ_vladimir
jayce,53.39
teemo,47.96
gangplank,53.83
irelia,47.44
akali,48.41
fiora,52.42
yone,52.17
tryndamere,43.94
aatrox,47.06
malphite,52.88
darius,48.24
renekton,50.75
garen,49.19
jax,56.85
vayne,56.40
sett,43.17
graves,51.09
riven,47.62
shen,44.64
camille,44.54
nasus,44.10
gnar,46.70
kennen,51.85
sylas,52.91
ornn,54.60
illaoi,46.98
gwen,55.48
ryze,53.24
rumble,49.64
yorick,37.88
sion,55.73
gragas,48.46
kayle,45.74
poppy,50.79
quinn,44.80
viktor,45.95
yasuo,48.65
mordekaiser,54.13
volibear,44.04
trundle,51.46
tahm kench,43.69
kled,46.94
rengar,47.83
dr. mundo,46.99
akshan,38.96
lucian,46.38
warwick,51.47
urgot,37.88
wukong,47.69
heimerdinger,46.88
master yi,53.70
