opponent_name,champ_volibear
irelia,53.32
darius,49.76
tryndamere,54.87
jayce,51.99
aatrox,48.08
sett,50.71
fiora,45.96
akali,46.75
yone,47.47
renekton,52.97
garen,45.96
riven,52.54
malphite,47.92
camille,49.23
graves,47.98
gnar,45.98
jax,48.71
teemo,47.01
gangplank,50.39
vayne,44.74
illaoi,45.30
shen,44.28
nasus,51.89
mordekaiser,49.84
gwen,53.57
sylas,50.90
tahm kench,48.59
sion,50.00
kennen,40.24
trundle,48.13
poppy,43.88
gragas,50.85
ornn,51.83
yorick,43.65
rumble,50.00
viktor,51.20
warwick,52.73
dr. mundo,41.72
kled,42.86
quinn,46.75
urgot,43.42
rengar,48.99
ryze,55.17
yasuo,49.65
kayle,44.03
wukong,54.55
vladimir,55.96
master yi,51.58
akshan,48.28
zac,45.12
singed,51.28
cho'gath,44.00
lucian,50.00
maokai,56.52
cassiopeia,39.34
heimerdinger,42.62
sejuani,46.30
