opponent_name,champ_warwick
irelia,58.83
tryndamere,54.46
fiora,54.45
jayce,55.61
darius,47.89
aatrox,54.23
akali,52.19
yone,54.37
sett,47.60
renekton,52.91
garen,45.90
malphite,53.03
camille,53.66
riven,46.73
teemo,46.83
vayne,46.99
jax,51.94
gangplank,51.56
illaoi,45.06
graves,50.00
gwen,53.92
gnar,50.79
shen,50.80
trundle,44.38
gragas,57.83
volibear,47.27
mordekaiser,56.17
nasus,45.51
sion,57.86
kennen,52.55
sylas,54.55
ornn,43.85
tahm kench,48.03
yorick,48.41
ryze,50.41
urgot,53.78
quinn,54.39
rumble,43.75
poppy,58.04
yasuo,52.25
kled,43.12
dr. mundo,42.86
viktor,43.88
rengar,53.06
kayle,47.37
wukong,59.57
master yi,55.95
vladimir,48.53
lucian,66.13
singed,42.37
cassiopeia,35.19
akshan,40.74
cho'gath,55.56
maokai,48.08
