opponent_name,champ_yasuo
jayce,53.91
yone,53.12
irelia,49.09
akali,50.55
renekton,46.99
fiora,50.21
tryndamere,46.97
darius,46.70
aatrox,51.42
sett,44.89
garen,43.90
teemo,45.75
malphite,48.06
graves,54.53
gangplank,51.03
gnar,51.30
riven,45.34
vayne,50.89
jax,46.05
sylas,52.11
camille,49.10
illaoi,48.85
shen,46.15
nasus,42.51
gwen,60.16
kennen,48.33
viktor,47.08
ryze,53.65
gragas,47.72
sion,51.78
trundle,45.64
yorick,51.08
mordekaiser,50.86
ornn,45.88
kayle,50.91
rumble,53.70
quinn,52.47
poppy,46.45
tahm kench,41.26
volibear,50.35
akshan,59.12
lucian,54.92
master yi,60.00
urgot,41.59
warwick,47.75
vladimir,51.35
heimerdinger,49.54
rengar,41.12
wukong,42.72
kled,43.88
dr. mundo,45.16
zac,36.59
singed,51.85
cho'gath,44.16
cassiopeia,55.56
maokai,40.63
pantheon,55.77
