opponent_name,champ_yone
jayce,50.36
irelia,46.80
akali,46.84
tryndamere,49.73
fiora,46.31
renekton,47.31
aatrox,50.00
darius,47.51
garen,45.97
sett,46.36
malphite,48.51
jax,48.44
gangplank,49.08
riven,45.57
graves,50.38
teemo,46.60
camille,47.60
vayne,51.04
gnar,49.00
shen,45.13
sylas,47.57
gwen,56.04
nasus,52.66
yasuo,46.88
illaoi,46.50
sion,52.45
gragas,51.16
kennen,48.12
viktor,51.20
mordekaiser,55.13
ryze,54.22
trundle,47.89
yorick,47.13
ornn,47.94
volibear,52.53
tahm kench,50.82
kayle,51.29
rumble,51.37
poppy,47.04
quinn,46.20
urgot,49.24
kled,47.01
dr. mundo,47.84
vladimir,47.83
warwick,45.63
rengar,42.54
master yi,57.43
wukong,52.15
akshan,47.85
singed,48.63
lucian,53.24
zac,45.00
heimerdinger,47.99
cho'gath,51.34
maokai,47.51
cassiopeia,44.17
pantheon,51.24
sejuani,46.49
