opponent_name,champ_yorick
jayce,57.68
tryndamere,53.11
darius,54.93
aatrox,54.47
akali,55.96
yone,52.87
fiora,52.68
irelia,46.45
sett,50.87
teemo,54.92
jax,49.32
garen,49.73
gangplank,55.70
malphite,58.78
renekton,52.04
graves,51.63
nasus,49.88
shen,47.66
vayne,55.00
mordekaiser,50.37
camille,54.55
gwen,48.79
illaoi,58.24
gnar,53.28
riven,53.05
sion,51.89
kennen,54.51
ornn,49.80
tahm kench,57.14
kayle,48.75
trundle,51.33
sylas,55.56
gragas,52.94
volibear,56.35
ryze,62.57
viktor,51.61
yasuo,48.92
poppy,52.66
rumble,60.24
quinn,49.39
urgot,52.76
dr. mundo,50.00
vladimir,62.12
kled,49.61
warwick,51.59
master yi,55.83
heimerdinger,59.17
rengar,54.05
lucian,65.38
cho'gath,50.00
wukong,50.00
singed,48.39
zac,43.42
akshan,59.15
cassiopeia,64.91
maokai,51.92
