opponent_name,champ_zac
jayce,56.40
tryndamere,54.00
irelia,56.64
fiora,51.79
akali,54.93
yone,55.00
aatrox,53.02
darius,50.00
sett,51.52
malphite,55.34
garen,47.54
gangplank,51.39
renekton,51.69
riven,56.61
camille,54.05
graves,54.35
jax,55.06
teemo,47.70
vayne,49.39
shen,50.31
mordekaiser,47.02
gnar,56.38
gragas,55.40
nasus,53.73
gwen,58.59
illaoi,46.34
sylas,55.00
ornn,57.58
trundle,50.00
sion,52.08
kennen,56.99
poppy,54.22
yasuo,63.41
volibear,54.88
tahm kench,51.95
yorick,56.58
viktor,47.37
ryze,62.16
rumble,53.85
quinn,58.62
rengar,61.40
kayle,48.08
wukong,54.90
akshan,58.00
