opponent_name,champ_aphelios,champ_ashe,champ_caitlyn,champ_draven,champ_ezreal,champ_jhin,champ_jinx,champ_kaisa,champ_kalista,champ_kogmaw,champ_lucian,champ_missfortune,champ_samira,champ_sivir,champ_tristana,champ_twitch,champ_varus,champ_vayne,champ_xayah,champ_zeri,champ_ziggs
aphelios,50.0,58.33,53.15,53.59,53.67,55.28,54.85,52.3,56.13,54.55,53.81,55.1,55.87,53.22,51.69,55.07,50.23,54.59,55.44,56.85,60.56
ashe,41.67,50.0,47.61,52.73,48.87,49.92,49.38,49.78,47.62,42.59,48.3,48.48,52.58,52.66,56.7,52.42,52.98,51.36,48.87,52.41,52.91
caitlyn,46.85,52.39,50.0,52.65,52.08,54.1,52.73,53.27,52.73,52.63,51.24,52.45,53.24,56.91,54.72,54.19,48.7,52.93,51.49,52.01,57.07
cassiopeia,38.1,42.03,37.86,50.0,49.02,47.65,46.2,43.63,50.0,50.0,45.54,46.4,46.81,50.0,47.31,40.0,50.0,44.55,49.7,50.73,50.0
draven,46.41,47.27,47.35,50.0,51.67,49.77,51.15,51.53,47.71,48.33,51.07,57.64,52.79,48.66,49.73,52.73,51.33,51.88,51.8,52.05,40.59
ezreal,46.33,51.13,47.92,48.33,50.0,51.5,50.01,52.09,52.84,51.68,49.25,51.07,52.2,52.98,51.89,52.11,48.9,52.87,49.4,52.34,51.75
jhin,44.71,50.08,45.9,50.23,48.5,50.0,49.0,51.12,48.37,48.95,48.28,47.79,51.93,49.95,52.44,50.55,45.82,52.08,47.78,51.02,50.08
jinx,45.13,50.62,47.26,48.85,49.99,51.0,50.0,49.08,48.28,48.64,50.05,50.45,49.46,52.46,49.59,51.27,47.3,50.75,49.27,50.75,51.55
kai'sa,47.7,50.22,46.73,48.47,47.91,48.88,50.92,50.0,52.88,50.08,49.33,50.69,54.72,52.06,50.8,50.15,49.65,52.49,52.08,53.46,51.82
kalista,43.87,52.38,47.27,52.29,47.16,51.63,51.72,47.12,50.0,56.0,51.38,47.24,50.61,55.28,52.88,47.14,42.35,52.16,51.88,54.95,51.72
kog'maw,45.45,57.41,47.37,51.67,48.32,51.05,51.36,49.92,44.0,50.0,49.15,46.43,47.52,50.0,51.66,48.8,50.0,47.97,52.15,50.68,50.0
lucian,46.19,51.7,48.76,48.93,50.75,51.72,49.95,50.67,48.62,50.85,50.0,51.15,51.86,50.78,53.27,51.02,49.53,49.98,50.18,51.66,56.45
miss fortune,44.9,51.52,47.55,42.36,48.93,52.21,49.55,49.31,52.76,53.57,48.85,50.0,50.33,50.27,48.85,50.27,46.98,52.4,45.23,52.5,52.94
samira,44.13,47.42,46.76,47.21,47.8,48.07,50.54,45.28,49.39,52.48,48.14,49.67,50.0,50.61,47.38,49.48,45.65,49.88,50.01,52.27,51.1
sivir,46.78,47.34,43.09,51.34,47.02,50.05,47.54,47.94,44.72,50.0,49.22,49.73,49.39,50.0,47.06,56.16,47.18,50.31,47.73,50.77,42.31
tristana,48.31,43.3,45.28,50.27,48.11,47.56,50.41,49.2,47.12,48.34,46.73,51.15,52.62,52.94,50.0,51.63,50.36,49.88,49.42,51.56,54.51
twitch,44.93,47.58,45.81,47.27,47.87,49.45,48.73,49.85,52.86,51.2,48.98,49.73,50.52,43.84,48.37,50.0,43.03,46.53,48.24,49.34,46.57
varus,49.77,47.02,51.3,48.67,51.1,54.18,52.7,50.35,57.65,50.0,50.47,53.02,54.35,52.82,49.64,56.97,50.0,56.5,52.8,52.66,46.27
vayne,45.41,48.64,47.07,48.12,47.13,47.92,49.25,47.51,47.84,52.03,50.02,47.6,50.12,49.69,50.12,53.47,43.5,50.0,49.58,50.61,49.13
xayah,44.56,51.13,48.51,48.2,50.6,52.22,50.72,47.92,48.13,47.85,49.82,54.77,49.99,52.27,50.58,51.76,47.2,50.42,50.0,52.36,51.65
zeri,43.15,47.59,47.99,47.95,47.65,48.98,49.25,46.54,45.05,49.32,48.32,47.5,47.73,49.23,48.44,50.66,47.34,49.39,47.64,50.0,49.45
ziggs,39.44,47.09,42.93,59.41,48.25,49.92,48.45,48.18,48.28,50.0,43.55,47.06,48.9,57.69,45.49,53.43,53.73,50.87,48.35,50.55,50.0
