opponent_name,amumu,diana,ekko,elise,evelynn,fiddlesticks,gragas,graves,gwen,hecarim,ivern,jarvaniv,karthus,kayn,khazix,kindred,leesin,lillia,masteryi,nidalee,nocturne,nunu,olaf,poppy,qiyana,rammus,reksai,rengar,sejuani,shaco,shyvana,taliyah,talon,trundle,udyr,vi,viego,volibear,warwick,xinzhao,zac,zed
amumu,50.0,50.35,56.32,51.15,50.38,53.44,47.06,48.61,44.55,49.84,50.0,51.23,53.85,51.42,49.13,53.94,49.95,54.65,47.35,46.88,51.72,53.23,55.56,49.3,50.0,53.4,55.81,50.0,50.74,51.14,54.55,57.14,46.62,55.03,56.41,53.56,48.3,57.85,50.89,51.87,52.87,50.0
diana,49.65,50.0,50.99,50.9,49.28,50.32,47.62,49.23,43.79,49.25,51.37,48.18,47.13,49.78,49.37,50.76,47.38,44.32,49.1,46.75,51.79,50.0,49.48,48.66,46.15,51.94,49.36,47.63,51.75,49.47,53.31,49.03,51.15,54.0,48.31,49.6,50.56,53.38,54.67,49.86,50.55,48.09
ekko,43.68,49.01,50.0,52.85,54.21,51.28,51.35,49.96,42.4,49.79,52.94,48.62,48.84,50.0,51.45,52.09,47.96,49.84,47.96,49.35,53.24,47.76,51.81,49.56,47.83,47.94,48.15,51.46,51.98,50.63,49.55,52.16,51.68,49.74,44.74,52.35,47.58,50.11,47.97,50.15,49.58,45.89
elise,48.85,49.1,47.15,50.0,45.51,52.54,45.74,49.03,37.16,48.95,52.04,50.81,42.79,47.72,52.86,44.8,45.61,45.06,42.59,45.93,54.28,48.1,38.75,50.07,47.95,49.61,46.67,43.4,50.0,52.64,48.62,48.19,49.19,49.17,53.98,50.39,45.69,53.02,46.79,44.98,52.39,46.05
evelynn,49.62,50.72,45.79,54.49,50.0,56.5,50.0,49.22,40.0,52.03,50.0,46.74,42.34,49.56,50.73,50.38,48.65,50.0,50.39,47.01,52.58,49.37,54.24,50.81,50.0,51.47,54.61,53.85,51.06,52.3,58.39,49.45,50.0,46.11,49.47,56.25,50.94,52.99,52.72,46.74,54.03,42.57
fiddlesticks,46.56,49.68,48.72,47.46,43.5,50.0,43.66,48.05,40.31,48.47,50.0,50.65,52.94,47.11,50.85,49.26,46.52,43.3,46.23,44.26,46.57,46.44,43.59,45.78,50.0,49.47,51.66,43.4,50.29,47.3,55.79,51.26,46.7,48.74,55.22,48.45,45.68,53.09,53.15,46.63,49.81,45.7
gragas,52.94,52.38,48.65,54.26,50.0,56.34,50.0,52.22,50.0,50.53,50.0,47.22,50.0,50.64,54.7,49.34,48.22,50.0,46.56,50.0,51.15,52.34,50.0,60.84,50.0,44.83,54.29,50.0,50.0,57.71,50.0,50.0,51.56,59.38,50.0,45.92,51.15,50.0,53.49,48.36,48.11,56.79
graves,51.39,50.77,50.04,50.97,50.78,51.95,47.78,50.0,43.62,49.69,48.67,49.54,44.31,48.13,51.03,50.44,48.03,47.73,48.22,50.86,51.91,50.82,45.86,52.55,49.39,52.74,48.39,42.35,52.1,48.07,54.26,51.73,52.69,50.69,49.76,52.26,50.36,49.33,51.53,47.95,50.26,46.31
gwen,55.45,56.21,57.6,62.84,60.0,59.69,50.0,56.38,50.0,53.75,50.0,52.48,58.25,57.32,57.46,57.93,55.35,58.02,60.5,58.71,55.65,62.11,50.85,61.43,50.0,59.8,54.41,50.0,50.0,57.42,63.72,69.35,55.47,55.94,57.38,55.02,57.51,49.09,51.49,54.32,56.98,59.3
hecarim,50.16,50.75,50.21,51.05,47.97,51.53,49.47,50.31,46.25,50.0,51.18,50.53,47.01,50.64,50.41,51.18,47.96,50.14,49.23,48.7,52.98,50.86,50.85,50.24,45.83,52.63,50.51,45.54,53.35,50.48,53.07,49.74,49.83,52.34,48.16,50.55,49.68,53.4,50.43,50.01,51.33,46.69
