opponent_name,champ_ahri,champ_akali,champ_akshan,champ_anivia,champ_annie,champ_aurelionsol,champ_azir,champ_cassiopeia,champ_chogath,champ_corki,champ_diana,champ_ekko,champ_fizz,champ_galio,champ_garen,champ_irelia,champ_kassadin,champ_katarina,champ_leblanc,champ_lissandra,champ_lucian,champ_lux,champ_malphite,champ_malzahar,champ_neeko,champ_nunu,champ_orianna,champ_pantheon,champ_qiyana,champ_renekton,champ_rumble,champ_ryze,champ_sett,champ_singed,champ_sion,champ_sylas,champ_syndra,champ_talon,champ_twistedfate,champ_veigar,champ_vex,champ_viktor,champ_vladimir,champ_xerath,champ_yasuo,champ_yone,champ_zed,champ_zeri,champ_zilean,champ_zoe
ahri,50.0,46.75,50.47,49.81,51.36,51.59,43.83,48.84,53.5,44.01,49.29,49.17,52.22,45.35,50.98,49.29,49.17,50.37,46.24,49.34,45.71,46.54,48.91,49.06,51.63,47.72,48.15,49.08,48.37,44.93,47.97,43.58,50.37,49.83,47.39,47.89,46.97,50.64,48.04,51.22,47.31,48.14,48.53,48.87,47.53,46.15,49.98,45.45,51.3,49.08
akali,53.25,50.0,56.78,54.47,53.87,50.67,48.97,52.26,48.74,52.56,53.65,48.38,47.92,54.21,51.56,49.51,54.48,51.26,50.1,54.53,48.4,50.26,48.64,56.2,52.76,51.96,48.25,51.05,48.62,49.86,52.73,46.96,47.95,60.34,54.2,51.72,49.82,54.83,51.99,56.31,52.77,49.96,53.71,50.43,47.43,49.44,48.56,52.38,55.45,50.74
akshan,49.53,43.22,50.0,55.19,53.3,45.0,48.19,49.53,51.47,42.79,52.66,47.99,49.88,50.74,50.59,48.55,48.42,49.88,45.74,49.59,40.53,49.18,59.27,52.35,52.29,60.42,48.69,55.79,50.35,54.55,50.86,45.78,42.55,50.0,47.4,45.62,47.52,49.42,53.65,52.19,48.88,49.3,50.0,45.36,53.69,46.13,51.0,44.24,59.41,48.67
anivia,50.19,45.53,44.81,50.0,51.69,52.94,46.33,47.16,47.44,45.55,50.63,43.81,51.79,50.19,47.25,43.01,48.78,50.39,43.77,45.58,42.13,48.53,36.84,48.85,48.56,36.14,50.22,48.0,49.83,41.07,53.96,41.06,39.51,50.0,37.39,46.97,47.0,48.9,46.45,48.05,46.56,51.4,42.86,52.21,46.67,46.07,48.98,46.9,46.98,46.85
annie,48.64,46.13,46.7,48.31,50.0,50.0,45.54,45.45,50.0,56.46,47.3,47.47,48.26,53.91,50.0,41.79,46.49,39.69,45.08,48.39,41.1,45.56,51.85,52.59,51.79,50.0,54.07,50.0,40.45,50.0,50.0,40.42,50.0,50.0,58.82,47.2,40.48,48.7,48.07,49.01,43.01,45.77,53.54,54.42,41.34,45.64,48.91,54.43,47.06,45.0
aurelion sol,48.41,49.33,55.0,47.06,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.75,50.0,50.0,44.35,34.55,41.54,45.45,50.0,50.0,38.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.42,50.0,50.0,50.0,48.92,42.86,43.56,47.17,38.14,41.7,45.78,50.0,28.3,43.52,41.56,52.08,50.0,50.0,41.56
azir,56.17,51.03,51.81,53.67,54.46,50.0,50.0,52.78,64.91,52.33,51.37,55.72,54.55,52.98,50.0,50.87,51.18,48.99,52.99,53.04,40.5,56.76,44.71,48.43,50.47,65.45,55.16,53.75,44.44,49.28,41.94,53.38,40.74,50.0,50.44,53.32,53.75,50.99,50.5,58.53,55.42,52.49,40.96,57.8,52.48,53.43,52.01,52.94,57.14,54.74
cassiopeia,51.16,47.74,50.47,52.84,54.55,50.0,47.22,50.0,42.86,45.89,45.66,46.67,52.82,51.98,55.93,46.41,46.35,47.62,46.72,51.14,43.31,44.7,43.88,52.17,48.41,55.1,49.22,48.41,52.84,45.0,54.72,45.03,45.45,50.0,41.61,44.43,48.37,50.43,50.54,51.21,49.22,51.05,43.3,53.27,46.33,46.19,53.49,47.47,65.0,51.13
cho'gath,46.5,51.26,48.53,52.56,50.0,50.0,35.09,57.14,50.0,51.25,50.0,43.24,48.57,50.0,50.0,39.53,50.0,45.55,50.0,39.81,50.0,48.33,50.0,45.1,50.0,50.0,48.44,50.0,50.0,50.0,50.0,41.14,50.0,50.0,50.0,48.79,41.67,45.45,43.16,52.29,47.77,48.43,50.72,48.53,47.85,46.94,50.6,57.14,50.0,45.83
corki,55.99,47.44,57.21,54.45,43.54,50.0,47.67,54.11,48.75,50.0,55.72,52.63,56.15,49.02,56.58,57.01,55.46,52.9,48.96,50.53,48.31,54.52,51.33,52.23,56.84,53.91,43.33,54.11,54.46,47.31,48.85,49.54,51.61,50.0,48.22,53.55,51.35,56.33,53.59,52.8,52.63,54.63,51.17,55.06,53.97,52.34,56.34,55.24,54.03,57.76
diana,50.71,46.35,47.34,49.37,52.7,50.0,48.63,54.34,50.0,44.28,50.0,51.2,48.68,55.36,67.27,50.88,44.0,48.6,46.09,47.68,45.26,43.67,48.96,46.45,44.19,41.18,43.23,43.53,51.15,43.62,59.62,41.13,50.0,50.0,60.92,49.82,46.09,50.82,47.12,49.6,45.05,47.18,45.06,46.15,47.23,49.52,46.0,53.6,49.32,45.61
