opponent_name,aatrox,akali,akshan,camille,cassiopeia,chogath,darius,drmundo,fiora,gangplank,garen,gnar,gragas,graves,gwen,heimerdinger,illaoi,irelia,jax,jayce,kayle,kennen,kled,lucian,malphite,maokai,masteryi,monkeyking,mordekaiser,nasus,ornn,pantheon,poppy,quinn,renekton,rengar,riven,rumble,ryze,sejuani,sett,shen,singed,sion,sylas,tahmkench,teemo,trundle,tryndamere,urgot,vayne,viktor,vladimir,volibear,warwick,yasuo,yone,yorick,zac
aatrox,50.0,47.66,46.84,50.69,53.72,52.17,52.75,43.28,51.16,47.25,51.86,46.65,47.74,48.58,44.25,55.36,54.35,53.74,50.07,47.35,50.98,51.78,51.92,43.51,51.82,55.13,51.71,49.37,52.23,50.9,52.75,49.63,55.72,47.49,49.63,48.03,51.9,50.0,46.05,51.11,50.46,49.29,59.04,49.64,46.95,54.82,48.32,50.77,50.09,50.82,52.2,47.28,47.06,48.08,54.23,51.42,50.0,54.47,53.02
akali,52.34,50.0,51.02,50.65,45.21,50.35,50.83,51.69,50.55,50.1,49.94,49.56,50.13,49.03,41.99,51.79,54.63,51.12,45.88,50.66,55.15,52.84,56.18,52.09,47.21,56.49,43.82,50.4,52.17,51.59,52.8,52.29,54.87,56.74,51.19,51.39,51.81,49.87,48.94,57.79,51.76,54.55,54.93,52.91,51.72,53.16,51.12,53.23,51.19,54.39,50.75,44.9,48.41,46.75,52.19,50.55,46.84,55.96,54.93
akshan,53.16,48.98,50.0,51.67,41.51,50.0,51.39,50.82,45.45,46.47,49.79,51.67,43.07,39.05,43.09,50.0,39.02,53.77,53.5,43.46,57.84,43.65,52.38,41.51,54.87,50.0,56.25,58.67,54.22,56.85,56.79,50.0,50.47,51.33,46.56,54.43,50.77,44.29,50.0,50.0,50.4,58.79,50.0,50.78,43.2,55.41,46.38,51.81,54.8,45.71,45.49,52.6,38.96,48.28,40.74,59.12,47.85,59.15,58.0
camille,49.31,49.35,48.33,50.0,56.67,50.37,50.44,47.39,49.57,48.32,47.62,48.17,48.59,45.29,48.64,48.77,46.34,49.23,46.98,47.57,51.9,48.91,45.9,51.63,52.11,54.17,41.53,46.31,50.44,49.37,51.5,55.63,50.26,54.8,48.97,51.4,49.85,48.99,46.26,54.08,48.0,55.62,47.13,49.89,51.68,56.71,54.59,44.32,49.07,48.93,52.48,53.18,44.54,49.23,53.66,49.1,47.6,54.55,54.05
cassiopeia,46.28,54.79,58.49,43.33,50.0,50.0,45.32,50.0,48.61,51.57,62.58,49.15,35.9,45.0,41.79,50.0,31.0,48.34,45.45,43.28,50.0,40.45,50.0,50.0,48.84,50.0,50.0,50.0,41.86,48.86,52.17,50.0,37.29,50.0,46.0,50.0,50.88,50.82,43.04,50.0,46.85,52.21,50.0,50.79,43.75,58.49,42.62,50.0,51.23,50.0,46.4,52.59,50.0,39.34,35.19,55.56,44.17,64.91,50.0
cho'gath,47.83,49.65,50.0,49.63,50.0,50.0,46.26,50.0,51.32,44.28,49.77,51.35,48.42,42.42,57.89,50.0,50.39,48.94,46.81,41.08,45.0,55.1,54.0,50.0,41.29,50.0,50.0,50.0,43.42,56.3,55.45,50.0,43.66,49.06,40.57,50.0,48.21,50.0,46.75,50.0,46.55,43.42,50.0,53.06,55.75,45.21,48.66,50.0,55.89,47.37,52.36,49.28,50.0,44.0,55.56,44.16,51.34,50.0,50.0
darius,47.25,49.17,48.61,49.56,54.68,53.74,50.0,51.72,48.72,52.34,49.71,49.34,45.89,44.72,46.99,52.86,50.15,49.78,48.25,50.58,55.6,51.68,52.68,44.93,50.31,49.18,43.0,51.6,47.58,50.41,53.58,53.71,44.44,55.29,45.68,42.97,52.66,48.07,48.08,54.92,50.15,50.17,48.79,46.14,48.81,50.65,53.55,52.03,46.01,50.35,56.21,49.39,48.24,49.76,47.89,46.7,47.51,54.93,50.0
dr. mundo,56.72,48.31,49.18,52.61,50.0,50.0,48.28,50.0,51.13,44.41,48.09,45.32,43.75,47.16,55.26,50.0,54.39,48.25,45.38,42.32,49.62,47.4,50.52,50.0,47.16,50.0,46.67,46.27,56.49,56.96,52.11,50.0,50.0,47.76,43.24,53.52,56.2,38.46,42.97,50.0,45.68,54.22,42.67,51.97,51.33,55.04,52.32,50.0,50.33,51.43,52.22,46.67,46.99,41.72,42.86,45.16,47.84,50.0,50.0
fiora,48.84,49.45,54.55,50.43,51.39,48.68,51.28,48.87,50.0,49.16,50.52,48.84,50.16,48.12,45.22,48.75,49.44,48.96,46.51,48.06,54.63,49.51,46.44,45.5,51.52,45.56,38.33,52.62,47.66,49.44,50.79,47.96,53.26,53.94,49.22,48.07,50.58,52.56,46.09,53.76,51.9,51.4,48.65,46.3,46.03,50.55,49.29,50.72,48.86,50.98,51.95,51.91,52.42,45.96,54.45,50.21,46.31,52.68,51.79
gangplank,52.75,49.9,53.53,51.68,48.43,55.72,47.66,55.59,50.84,50.0,54.93,51.68,50.38,47.43,52.27,51.6,52.71,52.97,50.98,50.94,57.77,48.73,53.75,48.59,50.89,45.89,49.59,47.69,53.99,52.84,50.95,49.21,50.76,55.81,46.7,55.61,53.03,48.9,50.93,54.17,50.25,52.5,52.11,52.75,48.6,56.94,51.96,54.82,53.51,52.5,50.22,53.51,53.83,50.39,51.56,51.03,49.08,55.7,51.39
garen,48.14,50.06,50.21,52.38,37.42,50.23,50.29,51.91,49.48,45.07,50.0,49.86,46.63,46.6,40.38,49.63,47.55,44.22,44.28,44.79,56.74,46.15,50.0,41.77,46.95,45.86,41.69,41.68,52.9,47.16,47.54,45.24,46.46,54.1,43.48,48.17,46.13,43.33,44.81,56.07,49.95,49.02,53.61,46.47,47.89,52.46,50.13,52.78,51.39,54.66,53.99,50.19,49.19,45.96,45.9,43.9,45.97,49.73,47.54
gnar,53.35,50.44,48.33,51.83,50.85,48.65,50.66,54.68,51.16,48.32,50.14,50.0,52.2,46.56,44.73,51.33,51.1,55.35,48.43,49.58,50.69,48.73,50.55,50.0,53.71,47.83,45.63,48.92,53.58,53.73,56.17,43.53,52.0,55.63,46.19,54.04,49.79,50.88,44.0,60.53,49.06,49.46,47.8,54.15,53.46,54.03,51.61,48.55,49.24,50.88,50.35,51.72,46.7,45.98,50.79,51.3,49.0,53.28,56.38
gragas,52.26,49.87,56.93,51.41,64.1,51.58,54.11,56.25,49.84,49.62,53.37,47.8,50.0,47.46,46.9,54.95,53.68,50.46,46.35,47.97,51.79,45.85,47.69,50.46,50.35,60.49,51.24,51.76,53.41,52.39,49.58,53.16,53.91,50.81,48.42,50.81,53.88,52.38,51.09,50.55,51.08,58.3,55.45,56.25,54.59,49.16,53.0,48.88,53.59,51.41,52.71,47.84,48.46,50.85,57.83,47.72,51.16,52.94,55.4
graves,51.42,50.97,60.95,54.71,55.0,57.58,55.28,52.84,51.88,52.57,53.4,53.44,52.54,50.0,48.02,46.81,50.09,54.64,51.24,48.75,53.7,52.17,52.25,51.52,52.92,52.7,49.57,52.13,55.16,55.43,53.47,58.2,53.43,55.24,49.92,53.22,51.14,55.77,44.0,53.45,54.3,53.26,49.12,50.1,48.95,56.6,51.59,52.25,56.59,48.94,52.33,53.26,51.09,47.98,50.0,54.53,50.38,51.63,54.35
gwen,55.75,58.01,56.91,51.36,58.21,42.11,53.01,44.74,54.78,47.73,59.62,55.27,53.1,51.98,50.0,55.26,50.0,56.34,54.88,54.61,60.61,52.27,52.89,56.0,53.89,47.97,57.87,58.15,53.35,57.73,51.28,59.04,52.53,58.75,50.38,49.77,59.77,50.88,51.5,54.67,56.56,53.51,64.24,52.26,54.43,52.61,57.75,50.89,56.29,56.95,59.26,60.0,55.48,53.57,53.92,60.16,56.04,48.79,58.59
heimerdinger,44.64,48.21,50.0,51.23,50.0,50.0,47.14,50.0,51.25,48.4,50.37,48.67,45.05,53.19,44.74,50.0,49.57,56.8,42.5,52.62,59.78,51.39,36.0,62.12,45.45,50.0,50.0,44.78,53.85,49.02,55.45,50.0,44.59,55.71,46.76,50.0,56.16,48.1,50.0,50.0,55.38,47.5,50.0,57.85,47.19,40.7,50.65,45.07,52.88,51.92,41.61,49.14,46.88,42.62,50.0,49.54,47.99,59.17,50.0
illaoi,45.65,45.37,60.98,53.66,69.0,49.61,49.85,45.61,50.56,47.29,52.45,48.9,46.32,49.91,50.0,50.43,50.0,48.75,44.42,48.71,58.24,48.36,49.49,44.74,46.23,52.58,42.76,49.23,51.41,44.29,43.24,52.31,49.82,52.25,41.89,52.58,47.74,49.32,44.21,50.85,48.19,49.36,47.58,45.68,41.14,50.27,52.64,50.42,48.81,50.0,53.31,57.31,46.98,45.3,45.06,48.85,46.5,58.24,46.34
irelia,46.26,48.88,46.23,50.77,51.66,51.06,50.22,51.75,51.04,47.03,55.78,44.65,49.54,45.36,43.66,43.2,51.25,50.0,51.19,44.17,47.47,48.33,48.71,42.32,51.9,52.2,46.38,50.0,50.39,50.53,50.56,50.63,57.33,49.93,49.45,52.48,54.74,48.97,42.01,55.0,54.0,54.23,54.29,45.82,49.96,51.31,52.81,51.97,54.87,54.94,48.86,48.1,47.44,53.32,58.83,49.09,46.8,46.45,56.64
jax,49.93,54.12,46.5,53.02,54.55,53.19,51.75,54.62,53.49,49.02,55.72,51.57,53.65,48.76,45.12,57.5,55.58,48.81,50.0,52.01,48.92,57.02,47.24,51.63,55.4,54.6,42.21,50.53,48.39,55.44,55.71,50.94,55.56,50.73,49.74,48.52,55.19,48.37,46.67,56.67,51.0,56.82,55.46,53.27,49.1,54.13,52.98,49.43,50.16,51.96,53.48,51.01,56.85,48.71,51.94,46.05,48.44,49.32,55.06
jayce,52.65,49.34,56.44,52.43,56.72,58.92,49.42,57.68,51.94,49.06,55.21,50.42,52.03,51.25,45.39,47.38,51.29,55.83,47.99,50.0,54.08,49.95,53.87,49.52,56.64,57.43,42.14,54.73,53.07,56.58,55.86,57.75,57.46,53.43,53.07,58.37,53.87,54.27,47.56,50.96,52.44,51.72,48.89,53.18,52.09,55.28,49.74,49.72,52.86,53.75,49.03,56.75,53.39,51.99,55.61,53.91,50.36,57.68,56.4
kayle,49.02,44.85,42.16,48.1,50.0,55.0,44.4,50.38,45.37,42.23,43.26,49.31,48.21,46.3,39.39,40.22,41.76,52.53,51.08,45.92,50.0,50.24,49.35,48.84,49.44,42.59,47.57,48.57,45.73,49.27,52.67,50.0,42.93,46.36,41.24,44.0,48.58,46.75,46.51,50.0,44.75,44.13,43.01,55.64,49.0,51.03,49.87,50.85,49.49,44.2,49.07,48.98,45.74,44.03,47.37,50.91,51.29,48.75,48.08
kennen,48.22,47.16,56.35,51.09,59.55,44.9,48.32,52.6,50.49,51.27,53.85,51.27,54.15,47.83,47.73,48.61,51.64,51.67,42.98,50.05,49.76,50.0,43.01,55.11,52.82,57.0,47.12,51.33,51.53,58.09,48.85,53.97,48.67,56.12,52.23,51.95,50.85,52.4,53.67,50.0,51.59,54.71,44.33,58.07,51.16,50.64,52.77,48.96,50.65,49.08,53.47,53.31,51.85,40.24,52.55,48.33,48.12,54.51,56.99
kled,48.08,43.82,47.62,54.1,50.0,46.0,47.32,49.48,53.56,46.25,50.0,49.45,52.31,47.75,47.11,64.0,50.51,51.29,52.76,46.13,50.65,56.99,50.0,58.33,51.81,50.0,33.33,49.48,54.55,53.06,47.76,50.0,45.33,52.99,46.19,41.76,46.32,47.24,46.88,49.09,47.52,51.08,56.36,41.38,50.0,50.97,52.3,51.03,46.71,49.44,52.05,47.2,46.94,42.86,43.12,43.88,47.01,49.61,50.0
lucian,56.49,47.91,58.49,48.37,50.0,50.0,55.07,50.0,54.5,51.41,58.23,50.0,49.54,48.48,44.0,37.88,55.26,57.68,48.37,50.48,51.16,44.89,41.67,50.0,58.78,50.0,50.0,59.02,46.75,50.0,55.91,50.0,46.67,53.66,57.2,44.0,47.2,56.0,49.04,50.0,54.86,58.33,50.0,53.26,46.53,51.39,56.23,48.68,57.24,60.81,47.59,51.15,46.38,50.0,66.13,54.92,53.24,65.38,50.0
malphite,48.18,52.79,45.13,47.89,51.16,58.71,49.69,52.84,48.48,49.11,53.05,46.29,49.65,47.08,46.11,54.55,53.77,48.1,44.6,43.36,50.56,47.18,47.89,41.22,50.0,53.88,52.63,44.9,55.38,55.12,55.84,51.67,48.36,46.78,48.88,48.59,50.74,50.29,45.97,56.59,49.26,51.61,57.87,56.38,57.7,52.29,48.41,48.77,44.75,46.29,41.92,48.88,52.88,47.92,53.03,48.06,48.51,58.78,55.34
maokai,44.87,43.51,50.0,45.83,50.0,50.0,50.82,50.0,54.44,54.11,54.14,52.17,39.51,47.3,52.03,50.0,47.42,47.8,45.4,42.57,57.41,43.0,50.0,50.0,46.12,50.0,50.0,56.0,51.81,59.84,51.22,50.0,39.66,49.06,47.56,42.62,51.46,39.71,37.74,50.0,55.38,45.74,50.0,41.24,47.75,57.14,48.41,47.46,50.0,50.0,40.0,60.61,50.0,56.52,48.08,40.63,47.51,51.92,50.0
master yi,48.29,56.18,43.75,58.47,50.0,50.0,57.0,53.33,61.67,50.41,58.31,54.37,48.76,50.43,42.13,50.0,57.24,53.62,57.79,57.86,52.43,52.88,66.67,50.0,47.37,50.0,50.0,66.13,51.46,44.9,57.0,50.0,61.54,56.52,59.87,55.95,62.86,53.09,52.78,50.0,68.53,60.22,50.0,54.62,50.43,52.63,59.09,56.52,55.56,66.67,63.37,58.54,53.7,51.58,55.95,60.0,57.43,55.83,50.0
mordekaiser,47.77,47.83,45.78,49.56,58.14,56.58,52.42,43.51,52.34,46.01,47.1,46.42,46.59,44.84,46.65,46.15,48.59,49.61,51.61,46.93,54.27,48.47,45.45,53.25,44.62,48.19,48.54,42.35,50.0,50.69,45.06,50.0,43.87,52.89,43.55,53.91,48.65,46.24,52.9,45.9,48.09,47.42,43.8,45.21,45.35,48.66,53.4,49.45,51.87,51.61,59.17,47.98,54.13,49.84,56.17,50.86,55.13,50.37,47.02
nasus,49.1,48.41,43.15,50.63,51.14,43.7,49.59,43.04,50.56,47.16,52.84,46.27,47.61,44.57,42.27,50.98,55.71,49.47,44.56,43.42,50.73,41.91,46.94,50.0,44.88,40.16,55.1,56.14,49.31,50.0,51.44,47.83,49.25,54.01,47.52,46.95,55.13,46.15,38.66,60.0,50.0,49.83,48.54,51.6,54.7,52.67,47.78,47.02,48.53,44.21,45.81,48.16,44.1,51.89,45.51,42.51,52.66,49.88,53.73
ornn,47.25,47.2,43.21,48.5,47.83,44.55,46.42,47.89,49.21,49.05,52.46,43.83,50.42,46.53,48.72,44.55,56.76,49.44,44.29,44.14,47.33,51.15,52.24,44.09,44.16,48.78,43.0,50.0,54.94,48.56,50.0,50.0,52.59,51.02,46.37,49.22,46.68,45.98,41.85,32.14,45.08,52.55,45.19,50.0,49.11,47.89,48.28,50.44,50.14,42.66,45.97,47.73,54.6,51.83,43.85,45.88,47.94,49.8,57.58
pantheon,50.37,47.71,50.0,44.37,50.0,50.0,46.29,50.0,52.04,50.79,54.76,56.47,46.84,41.8,40.96,50.0,47.69,49.37,49.06,42.25,50.0,46.03,50.0,50.0,48.33,50.0,50.0,50.0,50.0,52.17,50.0,50.0,50.0,46.0,46.5,50.0,66.02,38.89,46.0,50.0,47.4,49.35,50.0,52.63,49.18,50.0,48.48,50.0,52.22,50.0,37.93,50.0,50.0,50.0,50.0,55.77,51.24,50.0,50.0
poppy,44.28,45.13,49.53,49.74,62.71,56.34,55.56,50.0,46.74,49.24,53.54,48.0,46.09,46.57,47.47,55.41,50.18,42.67,44.44,42.54,57.07,51.33,54.67,53.33,51.64,60.34,38.46,53.15,56.13,50.75,47.41,50.0,50.0,51.82,48.52,43.9,46.54,50.72,43.18,50.0,48.64,53.5,55.32,52.42,48.26,52.17,55.65,54.49,45.75,59.06,48.36,52.68,50.79,43.88,58.04,46.45,47.04,52.66,54.22
quinn,52.51,43.26,48.67,45.2,50.0,50.94,44.71,52.24,46.06,44.19,45.9,44.37,49.19,44.76,41.25,44.29,47.75,50.07,49.27,46.57,53.64,43.88,47.01,46.34,53.22,50.94,43.48,43.53,47.11,45.99,48.98,54.0,48.18,50.0,45.14,50.0,42.11,43.98,40.91,50.0,49.39,53.04,52.46,46.98,48.39,48.41,47.35,50.39,45.44,43.43,41.65,52.97,44.8,46.75,54.39,52.47,46.2,49.39,58.62
renekton,50.37,48.81,53.44,51.03,54.0,59.43,54.32,56.76,50.78,53.3,56.52,53.81,51.58,50.08,49.62,53.24,58.11,50.55,50.26,46.93,58.76,47.77,53.81,42.8,51.12,52.44,40.13,53.89,56.45,52.48,53.63,53.5,51.48,54.86,50.0,51.8,48.16,53.91,50.65,60.11,54.42,53.51,63.16,52.4,52.33,53.85,54.03,50.99,52.46,53.83,55.29,50.84,50.75,52.97,52.91,46.99,47.31,52.04,51.69
rengar,51.97,48.61,45.57,48.6,50.0,50.0,57.03,46.48,51.93,44.39,51.83,45.96,49.19,46.78,50.23,50.0,47.42,47.52,51.48,41.63,56.0,48.05,58.24,56.0,51.41,57.38,44.05,53.16,46.09,53.05,50.78,50.0,56.1,50.0,48.2,50.0,52.94,48.08,38.26,50.0,54.26,55.42,50.0,52.46,46.34,48.36,54.26,53.33,52.4,54.0,45.67,47.57,47.83,48.99,53.06,41.12,42.54,54.05,61.4
riven,48.1,48.14,49.23,50.15,49.12,51.79,47.34,43.8,49.42,46.97,53.87,50.21,46.12,48.86,40.23,43.84,52.26,45.26,44.81,46.13,51.42,49.15,53.68,52.8,49.26,48.54,37.14,51.09,51.35,44.87,53.32,33.98,53.46,57.89,51.84,47.06,50.0,46.8,42.42,50.39,48.0,49.58,48.06,46.72,44.95,51.45,48.56,50.62,47.51,54.77,56.22,48.6,47.62,52.54,46.73,45.34,45.57,53.05,56.61
rumble,49.86,50.13,55.71,51.01,49.18,50.0,51.93,61.54,47.44,51.1,56.67,49.12,47.62,44.23,49.12,51.9,50.68,51.03,51.63,45.73,53.25,47.6,52.76,44.0,49.71,60.29,46.91,51.75,53.76,53.85,54.02,61.11,49.28,56.02,46.09,51.92,53.2,50.0,51.76,50.0,56.45,54.84,58.33,57.6,51.2,54.14,51.74,53.54,53.13,58.47,55.16,57.23,49.64,50.0,43.75,53.7,51.37,60.24,53.85
ryze,53.95,51.06,50.0,53.74,56.96,53.25,51.92,57.03,53.91,49.07,55.19,56.0,48.91,56.0,48.5,50.0,55.79,57.99,53.33,52.44,53.49,46.33,53.13,50.96,54.03,62.26,47.22,53.91,47.1,61.34,58.15,54.0,56.82,59.09,49.35,61.74,57.58,48.24,50.0,50.0,54.74,57.4,56.58,52.63,53.36,54.49,50.36,51.72,54.83,54.89,48.95,53.28,53.24,55.17,50.41,53.65,54.22,62.57,62.16
sejuani,48.89,42.21,50.0,45.92,50.0,50.0,45.08,50.0,46.24,45.83,43.93,39.47,49.45,46.55,45.33,50.0,49.15,45.0,43.33,49.04,50.0,50.0,50.91,50.0,43.41,50.0,50.0,50.0,54.1,40.0,67.86,50.0,50.0,50.0,39.89,50.0,49.61,50.0,50.0,50.0,50.34,52.11,50.0,47.27,44.32,50.0,42.42,54.69,42.37,50.0,55.21,50.0,50.0,46.3,50.0,50.0,46.49,50.0,50.0
sett,49.54,48.24,49.6,52.0,53.15,53.45,49.85,54.32,48.1,49.75,50.05,50.94,48.92,45.7,43.44,44.62,51.81,46.0,49.0,47.56,55.25,48.41,52.48,45.14,50.74,44.62,31.47,45.31,51.91,50.0,54.92,52.6,51.36,50.61,45.58,45.74,52.0,43.55,45.26,49.66,50.0,48.98,50.74,49.24,45.7,46.95,48.56,49.76,47.69,50.84,53.58,48.16,43.17,50.71,47.6,44.89,46.36,50.87,51.52
shen,50.71,45.45,41.21,44.38,47.79,56.58,49.83,45.78,48.6,47.5,50.98,50.54,41.7,46.74,46.49,52.5,50.64,45.77,43.18,48.28,55.87,45.29,48.92,41.67,48.39,54.26,39.78,44.23,52.58,50.17,47.45,50.65,46.5,46.96,46.49,44.58,50.42,45.16,42.6,47.89,51.02,50.0,55.9,49.56,47.5,51.35,49.54,47.15,46.24,48.42,50.97,51.26,44.64,44.28,50.8,46.15,45.13,47.66,50.31
singed,40.96,45.07,50.0,52.87,50.0,50.0,51.21,57.33,51.35,47.89,46.39,52.2,44.55,50.88,35.76,50.0,52.42,45.71,44.54,51.11,56.99,55.67,43.64,50.0,42.13,50.0,50.0,50.0,56.2,51.46,54.81,50.0,44.68,47.54,36.84,50.0,51.94,41.67,43.42,50.0,49.26,44.1,50.0,51.94,53.21,45.05,58.1,42.16,46.73,60.78,53.15,45.57,50.0,51.28,42.37,51.85,48.63,48.39,50.0
sion,50.36,47.09,49.22,50.11,49.21,46.94,53.86,48.03,53.7,47.25,53.53,45.85,43.75,49.9,47.74,42.15,54.32,54.18,46.73,46.82,44.36,41.93,58.62,46.74,43.62,58.76,45.38,44.09,54.79,48.4,50.0,47.37,47.58,53.02,47.6,47.54,53.28,42.4,47.37,52.73,50.76,50.44,48.06,50.0,47.12,50.0,45.53,52.3,49.57,46.67,54.29,51.89,55.73,50.0,57.86,51.78,52.45,51.89,52.08
sylas,53.05,48.28,56.8,48.32,56.25,44.25,51.19,48.67,53.97,51.4,52.11,46.54,45.41,51.05,45.57,52.81,58.86,50.04,50.9,47.91,51.0,48.84,50.0,53.47,42.3,52.25,49.57,54.84,54.65,45.3,50.89,50.82,51.74,51.61,47.67,53.66,55.05,48.8,46.64,55.68,54.3,52.5,46.79,52.88,50.0,53.21,48.19,45.5,53.22,61.07,53.54,58.21,52.91,50.9,54.55,52.11,47.57,55.56,55.0
tahm kench,45.18,46.84,44.59,43.29,41.51,54.79,49.35,44.96,49.45,43.06,47.54,45.97,50.84,43.4,47.39,59.3,49.73,48.69,45.87,44.72,48.97,49.36,49.03,48.61,47.71,42.86,47.37,48.25,51.34,47.33,52.11,50.0,47.83,51.59,46.15,51.64,48.55,45.86,45.51,50.0,53.05,48.65,54.95,50.0,46.79,50.0,46.23,47.6,45.32,47.32,49.43,52.74,43.69,48.59,48.03,41.26,50.82,57.14,51.95
teemo,51.68,48.88,53.62,45.41,57.38,51.34,46.45,47.68,50.71,48.04,49.87,48.39,47.0,48.41,42.25,49.35,47.36,47.19,47.02,50.26,50.13,47.23,47.7,43.77,51.59,51.59,40.91,46.18,46.6,52.22,51.72,51.52,44.35,52.65,45.97,45.74,51.44,48.26,49.64,57.58,51.44,50.46,41.9,54.47,51.81,53.77,50.0,46.17,46.72,52.45,41.81,51.86,47.96,47.01,46.83,45.75,46.6,54.92,47.7
